,depth,naw_temp,naw_sal,naw_den,saw_temp,saw_sal,saw_den
217,434,15.470917889370028,36.30593420007634,1026.7363891020102,9.155167913616312,34.987342159421296,1026.9549649527237
218,436,15.43555713004593,36.30010814314489,1026.7399479801988,9.109979698426512,34.982533339636824,1026.9585115093962
219,438,15.400196370721833,36.294282086213435,1026.7435068583873,9.064791483236714,34.977724519852345,1026.962058066069
220,440,15.364835611397735,36.28845602928199,1026.747065736576,9.019603268046914,34.97291570006787,1026.9656046227415
221,442,15.32947485207364,36.282629972350534,1026.7506246147643,8.974415052857115,34.9681068802834,1026.9691511794142
222,444,15.294114092749542,36.27680391541909,1026.754183492953,8.929226837667315,34.96329806049892,1026.9726977360867
223,446,15.258753333425444,36.27097785848763,1026.7577423711416,8.884038622477515,34.95848924071445,1026.9762442927595
224,448,15.223392574101346,36.265151801556186,1026.76130124933,8.838850407287717,34.95368042092997,1026.979790849432
225,450,15.188031814777249,36.25932574462473,1026.7648601275187,8.793662192097917,34.9488716011455,1026.9833374061047
226,452,15.152303435498231,36.25360944241257,1026.7684289314807,8.755790959931062,34.94495303868814,1026.9861785376681
227,454,15.116575056219213,36.247893140200404,1026.7719977354427,8.717919727764206,34.941034476230776,1026.9890196692315
228,456,15.080846676940196,36.24217683798824,1026.7755665394047,8.680048495597351,34.93711591377342,1026.991860800795
229,458,15.045118297661178,36.23646053577608,1026.7791353433668,8.642177263430495,34.93319735131605,1026.9947019323583
230,460,15.00938991838216,36.23074423356392,1026.7827041473288,8.60430603126364,34.929278788858696,1026.9975430639217
231,462,14.973661539103142,36.225027931351754,1026.7862729512908,8.566434799096784,34.92536022640134,1027.0003841954851
232,464,14.937933159824127,36.21931162913959,1026.7898417552528,8.528563566929929,34.92144166394397,1027.0032253270488
233,466,14.902204780545109,36.213595326927425,1026.7934105592149,8.490692334763073,34.917523101486616,1027.0060664586122
234,468,14.866476401266091,36.20787902471526,1026.796979363177,8.452821102596218,34.91360453902925,1027.0089075901756
235,470,14.830748021987073,36.202162722503104,1026.800548167139,8.414949870429362,34.90968597657189,1027.011748721739
236,472,14.795019642708056,36.19644642029094,1026.804116971101,8.377078638262507,34.905767414114536,1027.0145898533024
237,474,14.759291263429038,36.190730118078775,1026.807685775063,8.339207406095651,34.90184885165717,1027.0174309848658
238,476,14.723248912487314,36.185019787704235,1026.8112473332314,8.304483281383744,34.89830870463543,1027.0200003793773
239,478,14.686892589882884,36.17931542916732,1026.8148016456062,8.272906264126783,34.89514697304931,1027.0222980368367
240,480,14.650536267278454,36.17361107063041,1026.818355957981,8.241329246869823,34.89198524146318,1027.024595694296
241,482,14.614179944674024,36.16790671209349,1026.821910270356,8.209752229612862,34.88882350987706,1027.0268933517555
242,484,14.577823622069594,36.16220235355657,1026.8254645827308,8.178175212355901,34.88566177829094,1027.0291910092149
243,486,14.541467299465165,36.156497995019656,1026.8290188951057,8.14659819509894,34.88250004670481,1027.0314886666742
244,488,14.505110976860735,36.150793636482746,1026.8325732074804,8.11502117784198,34.87933831511869,1027.0337863241336
245,490,14.468754654256305,36.14508927794583,1026.8361275198554,8.08344416058502,34.87617658353257,1027.036083981593
246,492,14.432398331651875,36.13938491940891,1026.8396818322303,8.051867143328058,34.873014851946444,1027.0383816390527
247,494,14.396042009047445,36.133680560871994,1026.843236144605,8.020290126071098,34.86985312036032,1027.040679296512
248,496,14.359685686443015,36.127976202335084,1026.84679045698,7.988713108814137,34.86669138877419,1027.0429769539714
249,498,14.323329363838585,36.12227184379817,1026.8503447693547,7.957136091557176,34.863529657188074,1027.0452746114308
250,500,14.286973041234155,36.11656748526125,1026.8538990817297,7.925559074300216,34.86036792560195,1027.0475722688902
251,502,14.251035487906227,36.11122935425906,1026.8573978946831,7.911559020638792,34.85900572620928,1027.0485629637958
252,504,14.2150979345783,36.10589122325687,1026.8608967076364,7.897558966977368,34.85764352681662,1027.0495536587011
253,506,14.179160381250373,36.10055309225468,1026.8643955205898,7.883558913315944,34.85628132742396,1027.0505443536067
254,508,14.143222827922445,36.09521496125249,1026.867894333543,7.86955885965452,34.85491912803129,1027.0515350485123
255,510,14.107285274594517,36.0898768302503,1026.8713931464965,7.855558805993096,34.853556928638625,1027.0525257434176
256,512,14.071347721266589,36.08453869924811,1026.8748919594498,7.841558752331672,34.85219472924596,1027.0535164383232
257,514,14.035410167938661,36.07920056824592,1026.8783907724032,7.827558698670249,34.8508325298533,1027.0545071332285
258,516,13.999472614610735,36.07386243724373,1026.8818895853565,7.813558645008825,34.84947033046063,1027.055497828134
259,518,13.963535061282807,36.06852430624154,1026.88538839831,7.799558591347401,34.84810813106797,1027.0564885230397
260,520,13.927597507954879,36.06318617523935,1026.8888872112632,7.785558537685977,34.8467459316753,1027.057479217945
261,522,13.89165995462695,36.05784804423716,1026.8923860242166,7.771558484024553,34.84538373228264,1027.0584699128506
262,524,13.855722401299023,36.05250991323497,1026.89588483717,7.757558430363129,34.844021532889975,1027.0594606077561
263,526,13.819784847971096,36.04717178223278,1026.8993836501234,7.743558376701705,34.84265933349731,1027.0604513026615
264,528,13.783847294643168,36.04183365123059,1026.9028824630766,7.729558323040281,34.84129713410464,1027.061441997567
265,530,13.74790974131524,36.0364955202284,1026.90638127603,7.715558269378857,34.839934934711984,1027.0624326924726
266,532,13.711972187987312,36.03115738922621,1026.9098800889833,7.701558215717433,34.83857273531932,1027.063423387378
267,534,13.676034634659384,36.02581925822402,1026.9133789019368,7.687558162056009,34.83721053592665,1027.0644140822835
268,536,13.640097081331458,36.02048112722183,1026.91687771489,7.673558108394585,34.835848336533985,1027.065404777189
269,538,13.60415952800353,36.015142996219645,1026.9203765278435,7.659558054733161,34.834486137141326,1027.0663954720944
270,540,13.568221974675602,36.009804865217454,1026.9238753407967,7.645558001071738,34.83312393774866,1027.067386167
271,542,13.532284421347674,36.004466734215264,1026.9273741537502,7.631557947410314,34.83176173835599,1027.0683768619053
272,544,13.496346868019746,35.99912860321307,1026.9308729667034,7.61755789374889,34.83039953896333,1027.069367556811
273,546,13.46040931469182,35.99379047221088,1026.9343717796569,7.603557840087466,34.82903733957067,1027.0703582517165
274,548,13.424471761363892,35.98845234120869,1026.9378705926101,7.589557786426042,34.827675140178,1027.0713489466218
275,550,13.388534208035964,35.9831142102065,1026.9413694055636,7.575557732764618,34.826312940785336,1027.0723396415274
